,id,name,categories,lat,lng,postalCode,dist
0,58188c2b38fab86819349c50,Smokestak,BBQ Joint,51.5236384972305,-0.07291113423363176,E1 6LB,0.14273308550102867
1,4ac518c0f964a520aba320e3,Hawksmoor Spitalfields,Steakhouse,51.52147765393434,-0.0756168938529317,E1 6BJ,0.17448928547946396
2,51a62209454ae7b27328f944,Burro e Salvia,Italian Restaurant,51.52442972995472,-0.0745981511372525,E2 7DP,0.246432782340396
4,4ac518bbf964a5200ca220e3,Beigel Bake,Bagel Shop,51.52451325564918,-0.07164344929608257,E1 6SB,0.2329160228415871
6,56e94fda498ec86ebeb6fc90,Delamina EAST,Middle Eastern Restaurant,51.52131843153694,-0.07548547776552969,E1 6BJ,0.18244454998671575
7,551fb4a5498e84ea41d201a3,Bell Boi,Café,51.523568364454796,-0.07169185396074107,E1 6HR,0.12751860483318425
8,4ace87abf964a5200fd120e3,Beigel Shop,Bagel Shop,51.52439435155211,-0.07159601414304631,E1 6SB,0.2196412832460447
9,4fd4b30ae4b03f13ed0da048,Chez Elles,French Restaurant,51.51870338331591,-0.07153256271283441,E1 6PU,0.4153984440721685
10,5ab57aa175a6ea024c652ef6,Brat,English Restaurant,51.5242190717852,-0.07705675394560946,E1 6JL,0.2748033881665749
11,4ac518c6f964a520f9a420e3,St. John Bread and Wine,Restaurant,51.519767584836174,-0.07452990292331736,E1 6LZ,0.31345190540989293
12,4b151e15f964a52074a823e3,Tas Firin,Turkish Restaurant,51.52545849746562,-0.0702727253628311,E2 6DG,0.34142867090462525
13,4d2b2168342d6dcb732213cb,Kastner & Ovens,Restaurant,51.517913,-0.076465,E1 7HS,0.5308646007016253
15,4ad75c2df964a520cd0921e3,Pizza East,Pizza Place,51.52376263056805,-0.07703276326058599,E1 6JJ,0.23962200940318773
16,4fdb7c38e4b0bdf181f52326,Kahaila,Café,51.52382377507428,-0.07154394542559304,E1 6SB,0.15598154421930926
17,5763ebb3498e990e803c0684,Merkamo Ethiopian,Food Stand,51.520099,-0.07523,,0.28835645698459056
18,57d7eea3498ea60462c1fb36,What The Pitta,Vegetarian / Vegan Restaurant,51.523515649465665,-0.07610388018980559,E1 6GY,0.1974134810270326
19,552a4b25498e6e675f2ce59e,Ottolenghi,Mediterranean Restaurant,51.51827179652063,-0.07717729864282495,E1 7LJ,0.5019439127218218
20,57643e72498ede5f048ca51c,Flat Iron,Steakhouse,51.5248253266375,-0.08033740868454578,EC2A 3BS,0.4031864905881206
21,4ceed4e213aea143e6e16f9f,Brawn,Restaurant,51.528912924034444,-0.0703129817333181,E2 7RG,0.7251943629757305
22,51f6cf60498ed7f7f641938a,Pizza Union,Pizza Place,51.51769924196798,-0.07741630443960977,E1 7HS,0.5643597559011142
23,4cebd08ae1eeb60cdf67b5ae,Rochelle Canteen,Restaurant,51.52576187555667,-0.07442877848285737,E2 7ES,0.38486692411702794
24,52988940498e725c6a9df38f,Andina,Peruvian Restaurant,51.52436530783196,-0.07698208093643188,E2 7DJ,0.28521903836756907
25,565f5a3e498e305de0a17f07,Homeslice Pizza,Pizza Place,51.52710033,-0.07968906,EC1V 9LT,0.5915750640166118
